(1001, 421, 12269, 5862)
(101, 221, 12161, 2938)
(10001, 221, 12941, 3052)
(101, 821, 13103, 11867)
(10001, 21, 11933, 3425)
(1001, 221, 11813, 10792)
(10001, 621, 12713, 6083)
(1001, 221, 12263, 1375)
(101, 821, 12149, 655)
(1001, 221, 11939, 5346)
(10001, 221, 12979, 11758)
(10001, 21, 13309, 10909)
(101, 421, 12577, 11096)
(10001, 421, 11981, 11856)
(10001, 821, 13297, 3768)
(1001, 421, 12269, 11721)
(10001, 421, 11783, 1848)
(10001, 621, 11867, 2866)
(1001, 221, 13313, 6100)
(101, 621, 12473, 11706)
(1001, 821, 12149, 911)
(10001, 21, 11777, 5915)
(1001, 21, 12289, 9720)
(101, 621, 13037, 280)
(1001, 21, 12641, 7268)
(1001, 621, 11827, 43)
(10001, 821, 13003, 5028)
(10001, 21, 12517, 11876)
(101, 821, 12893, 12762)
(10001, 21, 12401, 3169)
(1001, 221, 11939, 5117)
(10001, 821, 11699, 1692)
(1001, 221, 11971, 8905)
(10001, 621, 13037, 1522)
(10001, 21, 13007, 11163)
(10001, 21, 12487, 2079)
(101, 421, 12239, 11068)
(101, 21, 11807, 8443)
(1001, 621, 12959, 1629)
(10001, 621, 12043, 6320)
(10001, 821, 12893, 8744)
(10001, 21, 12109, 1063)
(101, 821, 13003, 5967)
(1001, 21, 12739, 2185)
(1001, 821, 12049, 1306)
(10001, 221, 12491, 1283)
(1001, 21, 12487, 3294)
(101, 221, 12373, 11313)
(101, 621, 11689, 5465)
(101, 621, 11867, 1751)
(101, 421, 12239, 9185)
(1001, 821, 12433, 5518)
(101, 421, 11981, 5556)
(10001, 421, 13127, 7773)
(1001, 21, 11593, 3903)
(10001, 21, 13309, 11290)
(10001, 21, 11777, 8819)
(101, 221, 12979, 10401)
(1001, 21, 12289, 11958)
(101, 21, 12211, 3386)
(1001, 621, 13177, 4462)
(1001, 221, 13163, 1744)
(101, 221, 12373, 8826)
(101, 21, 13159, 9949)
(101, 221, 11971, 1857)
(1001, 821, 12479, 10524)
(10001, 21, 12487, 12047)
(1001, 421, 11681, 10487)
(1001, 421, 12809, 8795)
(10001, 421, 11783, 2337)
(1001, 621, 12421, 4308)
(101, 821, 11633, 11022)
(1001, 421, 12413, 12102)
